Time,Level,Content,LineId,EventId,EventTemplate
Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6750 in scoreboard slot 7,35,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6751 in scoreboard slot 9,36,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6752 in scoreboard slot 10,37,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,38,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,39,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 7,40,E1,mod child worker error state <*>
Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 6,41,E1,mod child worker error state <*>
Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6754 in scoreboard slot 8,42,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6755 in scoreboard slot 6,43,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:53:40 2005,notice,jk2_init() Found child 6756 in scoreboard slot 7,44,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:53:51 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,45,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:53:54 2005,error,mod_jk child workerEnv in error state 7,46,E1,mod child worker error state <*>
Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6763 in scoreboard slot 10,47,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6766 in scoreboard slot 6,48,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6767 in scoreboard slot 7,49,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6765 in scoreboard slot 8,50,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,51,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,52,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,53,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,54,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,55,E1,mod child worker error state <*>
Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,56,E1,mod child worker error state <*>
Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,57,E1,mod child worker error state <*>
Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,58,E1,mod child worker error state <*>
Sun Dec 04 04:54:20 2005,notice,jk2_init() Found child 6768 in scoreboard slot 9,59,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:54:20 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,60,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:54:20 2005,error,mod_jk child workerEnv in error state 6,61,E1,mod child worker error state <*>
Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8527 in scoreboard slot 10,62,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8533 in scoreboard slot 8,63,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,64,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,65,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:56:59 2005,error,mod_jk child workerEnv in error state 6,66,E1,mod child worker error state <*>
Sun Dec 04 04:57:00 2005,error,mod_jk child workerEnv in error state 6,67,E1,mod child worker error state <*>
Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8536 in scoreboard slot 6,68,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8539 in scoreboard slot 7,69,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,70,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,71,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,72,E1,mod child worker error state <*>
Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,73,E1,mod child worker error state <*>
Sun Dec 04 04:57:49 2005,notice,jk2_init() Found child 8541 in scoreboard slot 9,74,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:58:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,75,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:58:18 2005,error,mod_jk child workerEnv in error state 6,76,E1,mod child worker error state <*>
Sun Dec 04 04:58:45 2005,notice,jk2_init() Found child 8547 in scoreboard slot 10,77,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:58:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,78,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:58:58 2005,error,mod_jk child workerEnv in error state 6,79,E1,mod child worker error state <*>
Sun Dec 04 04:59:28 2005,notice,jk2_init() Found child 8554 in scoreboard slot 6,80,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:59:27 2005,notice,jk2_init() Found child 8553 in scoreboard slot 8,81,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,82,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,83,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,84,E1,mod child worker error state <*>
Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,85,E1,mod child worker error state <*>
Sun Dec 04 05:00:03 2005,notice,jk2_init() Found child 8560 in scoreboard slot 7,86,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:00:09 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,87,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:00:09 2005,error,mod_jk child workerEnv in error state 6,88,E1,mod child worker error state <*>
Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8565 in scoreboard slot 9,89,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8573 in scoreboard slot 10,90,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,91,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,92,E1,mod child worker error state <*>
Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,93,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,94,E1,mod child worker error state <*>
Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8584 in scoreboard slot 7,95,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8587 in scoreboard slot 9,96,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8603 in scoreboard slot 10,97,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8605 in scoreboard slot 8,98,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8764 in scoreboard slot 10,99,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8765 in scoreboard slot 11,100,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8763 in scoreboard slot 9,101,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8744 in scoreboard slot 8,102,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8743 in scoreboard slot 7,103,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8738 in scoreboard slot 6,104,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8766 in scoreboard slot 12,105,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,106,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,107,E1,mod child worker error state <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,108,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,109,E1,mod child worker error state <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,110,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,111,E1,mod child worker error state <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,112,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,113,E1,mod child worker error state <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,114,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,115,E1,mod child worker error state <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,116,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,117,E1,mod child worker error state <*>
Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,118,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,119,E1,mod child worker error state <*>
Sun Dec 04 05:11:51 2005,notice,jk2_init() Found child 25792 in scoreboard slot 6,120,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:12:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,121,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:12:10 2005,error,mod_jk child workerEnv in error state 6,122,E1,mod child worker error state <*>
Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25798 in scoreboard slot 7,123,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25803 in scoreboard slot 8,124,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,125,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,126,E1,mod child worker error state <*>
Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,127,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,128,E1,mod child worker error state <*>
Sun Dec 04 05:12:30 2005,notice,jk2_init() Found child 25805 in scoreboard slot 9,129,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:12:30 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,130,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:12:30 2005,error,mod_jk child workerEnv in error state 6,131,E1,mod child worker error state <*>
Sun Dec 04 05:15:09 2005,error,[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,132,E4,client <*> Directory index forbidden rule var www html
Sun Dec 04 05:15:13 2005,notice,jk2_init() Found child 1000 in scoreboard slot 10,133,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 05:15:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,134,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 05:15:16 2005,error,mod_jk child workerEnv in error state 6,135,E1,mod child worker error state <*>
Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32347 in scoreboard slot 6,136,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32348 in scoreboard slot 7,137,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,138,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,139,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:01:30 2005,error,mod_jk child workerEnv in error state 6,140,E1,mod child worker error state <*>
Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32352 in scoreboard slot 9,141,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32353 in scoreboard slot 10,142,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32354 in scoreboard slot 6,143,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:02:01 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,144,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:02:02 2005,error,mod_jk child workerEnv in error state 7,145,E1,mod child worker error state <*>
Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32359 in scoreboard slot 9,146,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32360 in scoreboard slot 11,147,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32358 in scoreboard slot 8,148,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32355 in scoreboard slot 7,149,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,150,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 7,151,E1,mod child worker error state <*>
Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,152,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,153,E1,mod child worker error state <*>
Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,154,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,155,E1,mod child worker error state <*>
Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,156,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,157,E1,mod child worker error state <*>
Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32388 in scoreboard slot 8,158,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32387 in scoreboard slot 7,159,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32386 in scoreboard slot 6,160,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:10 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,161,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:06:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,162,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,163,E1,mod child worker error state <*>
Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,164,E1,mod child worker error state <*>
Sun Dec 04 06:06:20 2005,notice,jk2_init() Found child 32389 in scoreboard slot 9,165,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32391 in scoreboard slot 10,166,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32390 in scoreboard slot 8,167,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32392 in scoreboard slot 6,168,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,169,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 7,170,E1,mod child worker error state <*>
Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,171,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 6,172,E1,mod child worker error state <*>
Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,173,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 6,174,E1,mod child worker error state <*>
Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,175,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 7,176,E1,mod child worker error state <*>
Sun Dec 04 06:11:11 2005,notice,jk2_init() Found child 32410 in scoreboard slot 7,177,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:11:11 2005,notice,jk2_init() Found child 32411 in scoreboard slot 9,178,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32423 in scoreboard slot 9,179,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32422 in scoreboard slot 8,180,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32419 in scoreboard slot 6,181,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32421 in scoreboard slot 11,182,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32420 in scoreboard slot 7,183,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32424 in scoreboard slot 10,184,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:12:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,185,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:12:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,186,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:12:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,187,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:12:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,188,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:12:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,189,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:12:40 2005,error,mod_jk child workerEnv in error state 6,190,E1,mod child worker error state <*>
Sun Dec 04 06:12:40 2005,error,mod_jk child workerEnv in error state 6,191,E1,mod child worker error state <*>
Sun Dec 04 06:12:40 2005,error,mod_jk child workerEnv in error state 6,192,E1,mod child worker error state <*>
Sun Dec 04 06:12:40 2005,error,mod_jk child workerEnv in error state 7,193,E1,mod child worker error state <*>
Sun Dec 04 06:12:40 2005,error,mod_jk child workerEnv in error state 7,194,E1,mod child worker error state <*>
Sun Dec 04 06:12:59 2005,notice,jk2_init() Found child 32425 in scoreboard slot 6,195,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:13:01 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,196,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:13:01 2005,error,mod_jk child workerEnv in error state 6,197,E1,mod child worker error state <*>
Sun Dec 04 06:16:10 2005,notice,jk2_init() Found child 32432 in scoreboard slot 7,198,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:16:10 2005,notice,jk2_init() Found child 32434 in scoreboard slot 9,199,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:16:10 2005,notice,jk2_init() Found child 32433 in scoreboard slot 8,200,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:16:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,201,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:16:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,202,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:16:23 2005,error,mod_jk child workerEnv in error state 6,203,E1,mod child worker error state <*>
Sun Dec 04 06:16:23 2005,error,mod_jk child workerEnv in error state 7,204,E1,mod child worker error state <*>
Sun Dec 04 06:16:21 2005,notice,jk2_init() Found child 32435 in scoreboard slot 10,205,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:16:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,206,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:16:23 2005,error,mod_jk child workerEnv in error state 6,207,E1,mod child worker error state <*>
Sun Dec 04 06:16:37 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,208,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:16:39 2005,error,mod_jk child workerEnv in error state 6,209,E1,mod child worker error state <*>
Sun Dec 04 06:16:51 2005,notice,jk2_init() Found child 32436 in scoreboard slot 6,210,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:16:51 2005,notice,jk2_init() Found child 32437 in scoreboard slot 7,211,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 06:17:02 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,212,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 06:17:02 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,213,E2,worker etc httpd conf workers <*> properties
