Time,Component,Pid,Content,LineId,EventId,EventTemplate
20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,31,E58,set Today Total Detail Steps <*>
20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,32,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,33,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,34,E47,REPORT <*>
20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,35,E42,Stand Step Changed <*>
20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,36,E69,Extend <*>
20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,37,E22,get Today Total Detail Steps <*>
20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,38,E58,set Today Total Detail Steps <*>
20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,39,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,40,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,41,E47,REPORT <*>
20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,42,E42,Stand Step Changed <*>
20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,43,E69,Extend <*>
20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,44,E22,get Today Total Detail Steps <*>
20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,45,E58,set Today Total Detail Steps <*>
20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,46,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,47,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,48,E47,REPORT <*>
20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,49,E42,Stand Step Changed <*>
20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,50,E69,Extend <*>
20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,51,E22,get Today Total Detail Steps <*>
20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,52,E58,set Today Total Detail Steps <*>
20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,53,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,54,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,55,E47,REPORT <*>
20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,56,E42,Stand Step Changed <*>
20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,57,E69,Extend <*>
20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,58,E22,get Today Total Detail Steps <*>
20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,59,E58,set Today Total Detail Steps <*>
20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,60,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,61,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,62,E47,REPORT <*>
20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,63,E42,Stand Step Changed <*>
20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,64,E69,Extend <*>
20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,65,E41,Receive action android intent action SCREEN<*> 
20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,66,E42,Stand Step Changed <*>
20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,67,E69,Extend <*>
20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,68,E22,get Today Total Detail Steps <*>
20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,69,E58,set Today Total Detail Steps <*>
20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,70,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,71,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,72,E19,Screen true
20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on",73,E53,screen status unknown think screen
20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,74,E47,REPORT <*>
20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,75,E41,Receive action android intent action SCREEN<*> 
20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,76,E43,process Handle Broadcast Action action android intent action <*> 
20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,77,E12,flush sensor data
20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,78,E22,get Today Total Detail Steps <*>
20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,79,E58,set Today Total Detail Steps <*>
20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,80,E42,Stand Step Changed <*>
20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,81,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,82,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,83,E47,REPORT <*>
20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,84,E42,Stand Step Changed <*>
20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,85,E69,Extend <*>
20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,86,E42,Stand Step Changed <*>
20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,87,E69,Extend <*>
20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,88,E22,get Today Total Detail Steps <*>
20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,89,E58,set Today Total Detail Steps <*>
20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,90,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,91,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,92,E47,REPORT <*>
20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,93,E42,Stand Step Changed <*>
20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,94,E69,Extend <*>
20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,95,E22,get Today Total Detail Steps <*>
20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,96,E58,set Today Total Detail Steps <*>
20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,97,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,98,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,99,E47,REPORT <*>
20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,100,E42,Stand Step Changed <*>
20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,101,E69,Extend <*>
20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,102,E22,get Today Total Detail Steps <*>
20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,103,E58,set Today Total Detail Steps <*>
20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,104,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,105,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,106,E47,REPORT <*>
20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,107,E42,Stand Step Changed <*>
20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,108,E69,Extend <*>
20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,109,E22,get Today Total Detail Steps <*>
20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,110,E58,set Today Total Detail Steps <*>
20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,111,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,112,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,113,E47,REPORT <*>
20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,114,E42,Stand Step Changed <*>
20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,115,E69,Extend <*>
20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,116,E22,get Today Total Detail Steps <*>
20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,117,E58,set Today Total Detail Steps <*>
20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,118,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,119,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,120,E47,REPORT <*>
20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,121,E42,Stand Step Changed <*>
20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,122,E69,Extend <*>
20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,123,E22,get Today Total Detail Steps <*>
20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,124,E58,set Today Total Detail Steps <*>
20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,125,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,126,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,127,E47,REPORT <*>
20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,128,E42,Stand Step Changed <*>
20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,129,E69,Extend <*>
20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,130,E22,get Today Total Detail Steps <*>
20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,131,E58,set Today Total Detail Steps <*>
20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,132,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,133,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,134,E47,REPORT <*>
20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,135,E42,Stand Step Changed <*>
20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,136,E69,Extend <*>
20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,137,E22,get Today Total Detail Steps <*>
20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,138,E58,set Today Total Detail Steps <*>
20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,139,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,140,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,141,E47,REPORT <*>
20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,142,E42,Stand Step Changed <*>
20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,143,E69,Extend <*>
20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,144,E22,get Today Total Detail Steps <*>
20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,145,E58,set Today Total Detail Steps <*>
20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,146,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,147,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,148,E47,REPORT <*>
20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,149,E42,Stand Step Changed <*>
20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,150,E69,Extend <*>
20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,151,E22,get Today Total Detail Steps <*>
20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,152,E58,set Today Total Detail Steps <*>
20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,153,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,154,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,155,E47,REPORT <*>
20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,156,E42,Stand Step Changed <*>
20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,157,E69,Extend <*>
20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,158,E22,get Today Total Detail Steps <*>
20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,159,E58,set Today Total Detail Steps <*>
20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,160,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,161,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,162,E47,REPORT <*>
20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,163,E42,Stand Step Changed <*>
20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,164,E69,Extend <*>
20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,165,E22,get Today Total Detail Steps <*>
20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,166,E58,set Today Total Detail Steps <*>
20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,167,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,168,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,169,E47,REPORT <*>
20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,170,E42,Stand Step Changed <*>
20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,171,E69,Extend <*>
20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,172,E22,get Today Total Detail Steps <*>
20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,173,E58,set Today Total Detail Steps <*>
20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,174,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,175,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,176,E47,REPORT <*>
20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,177,E42,Stand Step Changed <*>
20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,178,E69,Extend <*>
20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,179,E22,get Today Total Detail Steps <*>
20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,180,E58,set Today Total Detail Steps <*>
20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,181,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,182,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,183,E47,REPORT <*>
20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,184,E42,Stand Step Changed <*>
20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,185,E69,Extend <*>
20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,186,E22,get Today Total Detail Steps <*>
20171223-22:15:44:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,187,E58,set Today Total Detail Steps <*>
20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,188,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:44:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,189,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:44:170,Step_StandReportReceiver,30002312,REPORT : 7032 5020 150625 240,190,E47,REPORT <*>
20171223-22:15:44:849,Step_LSC,30002312,onStandStepChanged 3605,191,E42,Stand Step Changed <*>
20171223-22:15:44:863,Step_LSC,30002312,onExtend:1514038545000 1 0 4,192,E69,Extend <*>
20171223-22:15:45:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,193,E22,get Today Total Detail Steps <*>
20171223-22:15:45:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,194,E58,set Today Total Detail Steps <*>
20171223-22:15:45:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127332,195,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:45:161,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,196,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:45:164,Step_StandReportReceiver,30002312,REPORT : 7033 5021 150646 240,197,E47,REPORT <*>
20171223-22:15:45:348,Step_LSC,30002312,onStandStepChanged 3606,198,E42,Stand Step Changed <*>
20171223-22:15:45:361,Step_LSC,30002312,onExtend:1514038546000 1 0 4,199,E69,Extend <*>
20171223-22:15:45:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,200,E22,get Today Total Detail Steps <*>
20171223-22:15:45:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,201,E58,set Today Total Detail Steps <*>
20171223-22:15:45:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127354,202,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:45:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,203,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:45:659,Step_StandReportReceiver,30002312,REPORT : 7034 5022 150668 240,204,E47,REPORT <*>
20171223-22:15:45:848,Step_LSC,30002312,onStandStepChanged 3607,205,E42,Stand Step Changed <*>
20171223-22:15:45:851,Step_LSC,30002312,onExtend:1514038546000 1 0 4,206,E69,Extend <*>
20171223-22:15:46:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7034##548365##8661##14831##27189969,207,E22,get Today Total Detail Steps <*>
20171223-22:15:46:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,208,E58,set Today Total Detail Steps <*>
20171223-22:15:46:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127375,209,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:46:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,210,E3,calculate Altitude With Cache total Altitude <*>
